,yr_range,sec_unique,year1,year2,n2_inflow,agi_inflow,n2_outflow,agi_outflow,n2_net,agi_net
0,1516,"Barrow County, GA",2015.0,2016.0,810,18163000,823,15428000,-13,2735000
1,1516,"Cherokee County, GA",2015.0,2016.0,209,6229000,120,2866000,89,3363000
2,1516,"Clarke County, GA",2015.0,2016.0,469,10017000,498,9963000,-29,54000
3,1516,"Cobb County, GA",2015.0,2016.0,181,7666000,144,4559000,37,3107000
4,1516,"DeKalb County, GA",2015.0,2016.0,341,9387000,265,8492000,76,895000
5,1516,"Forsyth County, GA",2015.0,2016.0,1750,60784000,1137,29964000,613,30820000
6,1516,"Franklin County, GA",2015.0,2016.0,139,1820000,181,2368000,-42,-548000
7,1516,"Fulton County, GA",2015.0,2016.0,553,28592000,415,14681000,138,13911000
8,1516,"Gwinnett County, GA",2015.0,2016.0,4297,132810000,2213,59514000,2084,73296000
9,1516,"Madison County, GA",2015.0,2016.0,187,2284000,176,3156000,11,-872000
10,1516,"Oconee County, GA",2015.0,2016.0,66,1526000,76,2408000,-10,-882000
11,1516,"Rabun County, GA",2015.0,2016.0,39,590000,52,830000,-13,-240000
12,1516,"Stephens County, GA",2015.0,2016.0,99,1914000,126,1804000,-27,110000
13,1516,"Walton County, GA",2015.0,2016.0,183,4564000,125,2131000,58,2433000
14,1617,"Barrow County, GA",2016.0,2017.0,1463,33897000,1072,23095000,391,10802000
15,1617,"Chatham County, GA",2016.0,2017.0,96,3310000,45,1162000,51,2148000
16,1617,"Cherokee County, GA",2016.0,2017.0,283,7668000,191,6129000,92,1539000
17,1617,"Clarke County, GA",2016.0,2017.0,684,13991000,691,13664000,-7,327000
18,1617,"Cobb County, GA",2016.0,2017.0,309,14843000,213,6593000,96,8250000
19,1617,"DeKalb County, GA",2016.0,2017.0,442,15383000,330,9749000,112,5634000
20,1617,"Duval County, FL",2016.0,2017.0,43,751000,38,686000,5,65000
21,1617,"Forsyth County, GA",2016.0,2017.0,2681,88404000,1567,44682000,1114,43722000
22,1617,"Franklin County, GA",2016.0,2017.0,242,3847000,326,5181000,-84,-1334000
23,1617,"Fulton County, GA",2016.0,2017.0,853,46644000,508,22422000,345,24222000
24,1617,"Gwinnett County, GA",2016.0,2017.0,6590,219263000,2851,81276000,3739,137987000
25,1617,"Harris County, TX",2016.0,2017.0,67,1018000,45,788000,22,230000
26,1617,"Hart County, GA",2016.0,2017.0,39,852000,61,2494000,-22,-1642000
27,1617,"Henry County, GA",2016.0,2017.0,78,2245000,31,1550000,47,695000
28,1617,"Madison County, GA",2016.0,2017.0,295,4808000,346,5881000,-51,-1073000
29,1617,"Oconee County, GA",2016.0,2017.0,117,2921000,137,3700000,-20,-779000
30,1617,"Oglethorpe County, GA",2016.0,2017.0,50,1218000,44,645000,6,573000
31,1617,"Pickens County, GA",2016.0,2017.0,44,1322000,68,1375000,-24,-53000
32,1617,"Pinellas County, FL",2016.0,2017.0,37,1314000,44,835000,-7,479000
33,1617,"Rabun County, GA",2016.0,2017.0,102,2651000,96,2992000,6,-341000
34,1617,"Stephens County, GA",2016.0,2017.0,274,5317000,346,6919000,-72,-1602000
35,1617,"Walton County, GA",2016.0,2017.0,310,6766000,188,4944000,122,1822000
36,1718,"Barrow County, GA",2017.0,2018.0,1041,23733000,957,21308000,84,2425000
37,1718,"Cherokee County, GA",2017.0,2018.0,171,7008000,147,5594000,24,1414000
38,1718,"Clarke County, GA",2017.0,2018.0,681,14297000,471,9964000,210,4333000
39,1718,"Cobb County, GA",2017.0,2018.0,220,7081000,192,5212000,28,1869000
40,1718,"DeKalb County, GA",2017.0,2018.0,366,9983000,265,7608000,101,2375000
41,1718,"Forsyth County, GA",2017.0,2018.0,2020,75161000,1458,36938000,562,38223000
42,1718,"Franklin County, GA",2017.0,2018.0,129,2054000,232,3110000,-103,-1056000
43,1718,"Fulton County, GA",2017.0,2018.0,655,36705000,461,18428000,194,18277000
44,1718,"Gwinnett County, GA",2017.0,2018.0,4936,169758000,2446,68594000,2490,101164000
45,1718,"Madison County, GA",2017.0,2018.0,208,3597000,225,3631000,-17,-34000
46,1718,"Oconee County, GA",2017.0,2018.0,95,2378000,71,1515000,24,863000
47,1718,"Pickens County, GA",2017.0,2018.0,45,1029000,42,1394000,3,-365000
48,1718,"Rabun County, GA",2017.0,2018.0,44,1032000,49,928000,-5,104000
49,1718,"Stephens County, GA",2017.0,2018.0,230,4938000,260,8032000,-30,-3094000
50,1718,"Walton County, GA",2017.0,2018.0,202,5417000,160,3443000,42,1974000
51,1819,"Barrow County, GA",2018.0,2019.0,1059,34778000,852,23191000,207,11587000
52,1819,"Cherokee County, GA",2018.0,2019.0,176,5739000,137,5060000,39,679000
53,1819,"Clarke County, GA",2018.0,2019.0,559,12019000,529,12122000,30,-103000
54,1819,"Clayton County, GA",2018.0,2019.0,54,837000,40,538000,14,299000
55,1819,"Cobb County, GA",2018.0,2019.0,162,9186000,165,4897000,-3,4289000
56,1819,"DeKalb County, GA",2018.0,2019.0,311,9062000,252,8858000,59,204000
57,1819,"Forsyth County, GA",2018.0,2019.0,2056,80860000,1315,42071000,741,38789000
58,1819,"Franklin County, GA",2018.0,2019.0,149,2848000,214,4115000,-65,-1267000
59,1819,"Fulton County, GA",2018.0,2019.0,683,38609000,568,28791000,115,9818000
60,1819,"Gwinnett County, GA",2018.0,2019.0,5032,177819000,2364,73615000,2668,104204000
61,1819,"Madison County, GA",2018.0,2019.0,208,4205000,197,3441000,11,764000
62,1819,"Oconee County, GA",2018.0,2019.0,101,2484000,93,2267000,8,217000
63,1819,"Pickens County, GA",2018.0,2019.0,73,1826000,39,1236000,34,590000
64,1819,"Rabun County, GA",2018.0,2019.0,65,1246000,68,1192000,-3,54000
65,1819,"Stephens County, GA",2018.0,2019.0,257,4755000,220,5627000,37,-872000
66,1819,"Walton County, GA",2018.0,2019.0,198,4688000,134,4807000,64,-119000
67,1920,"Barrow County, GA",2019.0,2020.0,1241,29271000,903,22143000,338,7128000
68,1920,"Cherokee County, GA",2019.0,2020.0,379,13502000,198,7720000,181,5782000
69,1920,"Clarke County, GA",2019.0,2020.0,652,16187000,522,12463000,130,3724000
70,1920,"Cobb County, GA",2019.0,2020.0,313,21279000,226,6811000,87,14468000
71,1920,"DeKalb County, GA",2019.0,2020.0,380,18219000,232,8706000,148,9513000
72,1920,"Forsyth County, GA",2019.0,2020.0,2776,98368000,1425,43737000,1351,54631000
73,1920,"Franklin County, GA",2019.0,2020.0,158,3826000,241,4741000,-83,-915000
74,1920,"Fulton County, GA",2019.0,2020.0,817,56712000,485,24192000,332,32520000
75,1920,"Gwinnett County, GA",2019.0,2020.0,6652,243182000,2308,69054000,4344,174128000
76,1920,"Madison County, GA",2019.0,2020.0,182,4163000,265,6078000,-83,-1915000
77,1920,"Mecklenburg County, NC",2019.0,2020.0,37,2082000,31,865000,6,1217000
78,1920,"Oconee County, GA",2019.0,2020.0,93,2384000,104,3285000,-11,-901000
79,1920,"Orange County, FL",2019.0,2020.0,33,1021000,38,885000,-5,136000
80,1920,"Pickens County, GA",2019.0,2020.0,59,2020000,58,1437000,1,583000
81,1920,"Rabun County, GA",2019.0,2020.0,105,2974000,71,1516000,34,1458000
82,1920,"Stephens County, GA",2019.0,2020.0,244,4710000,246,5975000,-2,-1265000
83,1920,"Walton County, GA",2019.0,2020.0,232,6615000,171,4524000,61,2091000
