,y1_countyname,y1_state,y2_countyname,y2_state,n2_inflow,agi_perThou_inflow,agi_inflow,yr_range,year1,year2,mig_direction1,unique_tag,secondary_county
16981,Banks County Total Migration-US and Foreign,GA,Banks County,GA,1178,18274,18274000,1516,2015,2016,inflow,Banks County total migration-1516,"Banks County Total Migration-US and Foreign, GA"
16986,Jackson County,GA,Banks County,GA,279,4925,4925000,1516,2015,2016,inflow,Banks County-Jackson County-GA-1516,"Jackson County, GA"
16987,Habersham County,GA,Banks County,GA,208,2719,2719000,1516,2015,2016,inflow,Banks County-Habersham County-GA-1516,"Habersham County, GA"
16988,Hall County,GA,Banks County,GA,190,2849,2849000,1516,2015,2016,inflow,Banks County-Hall County-GA-1516,"Hall County, GA"
16989,Gwinnett County,GA,Banks County,GA,79,1889,1889000,1516,2015,2016,inflow,Banks County-Gwinnett County-GA-1516,"Gwinnett County, GA"
16990,Franklin County,GA,Banks County,GA,45,689,689000,1516,2015,2016,inflow,Banks County-Franklin County-GA-1516,"Franklin County, GA"
18071,Dawson County Total Migration-US and Foreign,GA,Dawson County,GA,1910,66113,66113000,1516,2015,2016,inflow,Dawson County total migration-1516,"Dawson County Total Migration-US and Foreign, GA"
18077,Forsyth County,GA,Dawson County,GA,734,31665,31665000,1516,2015,2016,inflow,Dawson County-Forsyth County-GA-1516,"Forsyth County, GA"
18078,Lumpkin County,GA,Dawson County,GA,164,3169,3169000,1516,2015,2016,inflow,Dawson County-Lumpkin County-GA-1516,"Lumpkin County, GA"
18079,Hall County,GA,Dawson County,GA,148,3332,3332000,1516,2015,2016,inflow,Dawson County-Hall County-GA-1516,"Hall County, GA"
18080,Fulton County,GA,Dawson County,GA,121,8921,8921000,1516,2015,2016,inflow,Dawson County-Fulton County-GA-1516,"Fulton County, GA"
18081,Gwinnett County,GA,Dawson County,GA,118,2963,2963000,1516,2015,2016,inflow,Dawson County-Gwinnett County-GA-1516,"Gwinnett County, GA"
18082,Cherokee County,GA,Dawson County,GA,91,2448,2448000,1516,2015,2016,inflow,Dawson County-Cherokee County-GA-1516,"Cherokee County, GA"
18083,Cobb County,GA,Dawson County,GA,32,1776,1776000,1516,2015,2016,inflow,Dawson County-Cobb County-GA-1516,"Cobb County, GA"
