,y1_countyname,y1_state,y2_countyname,y2_state,n2_outflow,agi_perThou_outflow,agi_outflow,yr_range,year1,year2,mig_direction2,unique_tag,secondary_county
15866,Banks County,GA,Banks County Total Migration-US and Foreign,GA,1265,18347,18347000,1516,2015,2016,outflow,Banks County total migration-1516,"Banks County Total Migration-US and Foreign, GA"
15871,Banks County,GA,Jackson County,GA,325,5402,5402000,1516,2015,2016,outflow,Banks County-Jackson County-GA-1516,"Jackson County, GA"
15872,Banks County,GA,Habersham County,GA,352,3907,3907000,1516,2015,2016,outflow,Banks County-Habersham County-GA-1516,"Habersham County, GA"
15873,Banks County,GA,Hall County,GA,145,2445,2445000,1516,2015,2016,outflow,Banks County-Hall County-GA-1516,"Hall County, GA"
15874,Banks County,GA,Franklin County,GA,51,916,916000,1516,2015,2016,outflow,Banks County-Franklin County-GA-1516,"Franklin County, GA"
16914,Dawson County,GA,Dawson County Total Migration-US and Foreign,GA,1711,40480,40480000,1516,2015,2016,outflow,Dawson County total migration-1516,"Dawson County Total Migration-US and Foreign, GA"
16920,Dawson County,GA,Forsyth County,GA,449,11276,11276000,1516,2015,2016,outflow,Dawson County-Forsyth County-GA-1516,"Forsyth County, GA"
16921,Dawson County,GA,Lumpkin County,GA,256,4551,4551000,1516,2015,2016,outflow,Dawson County-Lumpkin County-GA-1516,"Lumpkin County, GA"
16922,Dawson County,GA,Hall County,GA,151,3015,3015000,1516,2015,2016,outflow,Dawson County-Hall County-GA-1516,"Hall County, GA"
16923,Dawson County,GA,Fulton County,GA,78,2820,2820000,1516,2015,2016,outflow,Dawson County-Fulton County-GA-1516,"Fulton County, GA"
16924,Dawson County,GA,Gwinnett County,GA,63,1393,1393000,1516,2015,2016,outflow,Dawson County-Gwinnett County-GA-1516,"Gwinnett County, GA"
16925,Dawson County,GA,Cherokee County,GA,65,1236,1236000,1516,2015,2016,outflow,Dawson County-Cherokee County-GA-1516,"Cherokee County, GA"
17964,Habersham County,GA,Habersham County Total Migration-US and Foreign,GA,1681,31194,31194000,1516,2015,2016,outflow,Habersham County total migration-1516,"Habersham County Total Migration-US and Foreign, GA"
