,unique_tag,secondary_county_y,yr_range,year1,year2,n2_inflow,agi_inflow,n2_outflow,agi_outflow,n2_net,agi_net,arc_county,unique_tag2,prim_county,sec_county,sec_county_state,yr_range2,sec_unique
4,Banks County-Franklin County-GA-1516,"Franklin County, GA",1516,2015,2016,45,689000,51,916000,-6,-227000,Banks County,Banks County-Franklin County-GA,Banks County,Franklin County,GA,1516,"Franklin County, GA"
6,Dawson County-Forsyth County-GA-1516,"Forsyth County, GA",1516,2015,2016,734,31665000,449,11276000,285,20389000,Dawson County,Dawson County-Forsyth County-GA,Dawson County,Forsyth County,GA,1516,"Forsyth County, GA"
9,Dawson County-Fulton County-GA-1516,"Fulton County, GA",1516,2015,2016,121,8921000,78,2820000,43,6101000,Dawson County,Dawson County-Fulton County-GA,Dawson County,Fulton County,GA,1516,"Fulton County, GA"
10,Dawson County-Gwinnett County-GA-1516,"Gwinnett County, GA",1516,2015,2016,118,2963000,63,1393000,55,1570000,Dawson County,Dawson County-Gwinnett County-GA,Dawson County,Gwinnett County,GA,1516,"Gwinnett County, GA"
11,Dawson County-Cherokee County-GA-1516,"Cherokee County, GA",1516,2015,2016,91,2448000,65,1236000,26,1212000,Dawson County,Dawson County-Cherokee County-GA,Dawson County,Cherokee County,GA,1516,"Cherokee County, GA"
16,Habersham County-Stephens County-GA-1516,"Stephens County, GA",1516,2015,2016,99,1914000,126,1804000,-27,110000,Habersham County,Habersham County-Stephens County-GA,Habersham County,Stephens County,GA,1516,"Stephens County, GA"
17,Habersham County-Gwinnett County-GA-1516,"Gwinnett County, GA",1516,2015,2016,74,1541000,52,1354000,22,187000,Habersham County,Habersham County-Gwinnett County-GA,Habersham County,Gwinnett County,GA,1516,"Gwinnett County, GA"
19,Habersham County-Rabun County-GA-1516,"Rabun County, GA",1516,2015,2016,39,590000,52,830000,-13,-240000,Habersham County,Habersham County-Rabun County-GA,Habersham County,Rabun County,GA,1516,"Rabun County, GA"
21,Hall County-Gwinnett County-GA-1516,"Gwinnett County, GA",1516,2015,2016,2847,89947000,1620,44363000,1227,45584000,Hall County,Hall County-Gwinnett County-GA,Hall County,Gwinnett County,GA,1516,"Gwinnett County, GA"
22,Hall County-Forsyth County-GA-1516,"Forsyth County, GA",1516,2015,2016,661,20377000,489,13728000,172,6649000,Hall County,Hall County-Forsyth County-GA,Hall County,Forsyth County,GA,1516,"Forsyth County, GA"
24,Hall County-Fulton County-GA-1516,"Fulton County, GA",1516,2015,2016,330,15708000,249,9153000,81,6555000,Hall County,Hall County-Fulton County-GA,Hall County,Fulton County,GA,1516,"Fulton County, GA"
26,Hall County-DeKalb County-GA-1516,"DeKalb County, GA",1516,2015,2016,284,7914000,229,7604000,55,310000,Hall County,Hall County-DeKalb County-GA,Hall County,DeKalb County,GA,1516,"DeKalb County, GA"
27,Hall County-Barrow County-GA-1516,"Barrow County, GA",1516,2015,2016,308,7160000,384,7171000,-76,-11000,Hall County,Hall County-Barrow County-GA,Hall County,Barrow County,GA,1516,"Barrow County, GA"
30,Hall County-Cobb County-GA-1516,"Cobb County, GA",1516,2015,2016,181,7666000,144,4559000,37,3107000,Hall County,Hall County-Cobb County-GA,Hall County,Cobb County,GA,1516,"Cobb County, GA"
33,Hall County-Cherokee County-GA-1516,"Cherokee County, GA",1516,2015,2016,118,3781000,55,1630000,63,2151000,Hall County,Hall County-Cherokee County-GA,Hall County,Cherokee County,GA,1516,"Cherokee County, GA"
34,Hall County-Clarke County-GA-1516,"Clarke County, GA",1516,2015,2016,118,2275000,127,2253000,-9,22000,Hall County,Hall County-Clarke County-GA,Hall County,Clarke County,GA,1516,"Clarke County, GA"
35,Hall County-Walton County-GA-1516,"Walton County, GA",1516,2015,2016,86,3062000,70,1278000,16,1784000,Hall County,Hall County-Walton County-GA,Hall County,Walton County,GA,1516,"Walton County, GA"
37,Jackson County-Gwinnett County-GA-1516,"Gwinnett County, GA",1516,2015,2016,1102,33022000,391,10864000,711,22158000,Jackson County,Jackson County-Gwinnett County-GA,Jackson County,Gwinnett County,GA,1516,"Gwinnett County, GA"
39,Jackson County-Barrow County-GA-1516,"Barrow County, GA",1516,2015,2016,502,11003000,439,8257000,63,2746000,Jackson County,Jackson County-Barrow County-GA,Jackson County,Barrow County,GA,1516,"Barrow County, GA"
